ROWNUM;Name;Location;Type;TypePhoto;Power;AdmArea;X_WGS;Y_WGS;GLOBALID;
1;"Часы";"Тимирязевская ул., д17 к/т ""Эстафета""";"КП 098-01";"";"0.12";"Северный АО";"37.568035";"55.8114";"92385347";
2;"Часы";"Тишинская пл., напротив д6, пересечение с Грузинским пер.";"КП 098-01";"";"0.12";"Центральный АО";"37.583865";"55.770051";"92385348";
3;"Часы";"Триумфальная пл., д1,м. ""Маяковская""";"КП 098-01";"";"0.12";"Центральный АО";"37.595843";"55.769912";"92385349";
4;"Часы";"Тургеневская пл., напротив д35 м. ""Тургеневская""";"КП-098";"";"0.125";"Центральный АО";"37.637582";"55.765653";"92385350";
5;"Часы";"Тушинская ул., д14";"КП 098-01";"";"0.12";"Северо-Западный АО";"37.446796";"55.827019";"92385351";
6;"Часы";"Косыгина ул., Смотровая площадка";"КП-098";"";"0.125";"Западный АО";"37.542364";"55.709092";"92385352";
7;"Часы";"Университетский просп., Мичуринский пр-т.";"КП-098";"";"0.125";"Западный АО";"37.527028";"55.71147";"92385353";
8;"Часы";"Университетский просп., Гл. вход МГУ";"АЧС 2-900";"";"0.125";"Западный АО";"37.536479";"55.705687";"92385354";
9;"Часы";"Фонвизина ул., пересечение с ул.Яблочкова";"КП-098";"";"0.125";"Северо-Восточный АО";"37.581041";"55.819301";"92385355";
10;"Часы";"Хамовнический вал ул., д2, пересечение с Фрунзенской наб.";"АЧС-800";"";"0.08";"Центральный АО";"37.577057";"55.715687";"92385356";
11;"Часы";"Хамовнический вал ул., д34 гост.""Юность""";"КП 098-04/1";"";"0.14";"Центральный АО";"37.562413";"55.721881";"92385357";
12;"Часы";"Профсоюзная ул., д1/24 Хо Ши Мина пл. 3-я опора до пересечения";"КП 098-04/1";"";"0.14";"Юго-Западный АО";"37.572714";"55.686756";"92385358";
13;"Часы";"Хорошёвское шоссе, д20 м.""Беговая""";"АЧС-800";"";"0.08";"Северный АО";"37.544123";"55.773886";"92385359";
14;"Часы";"Хорошёвское шоссе, д35 к3 м.""Полежаевская""";"КП 098-01";"";"0.08";"Северный АО";"37.519782";"55.777398";"92385360";
15;"Часы";"Цветной бульв., д13 Цирк";"КП-098";"";"0.125";"Центральный АО";"37.620899";"55.770688";"92385361";
16;"Часы";"Челябинская ул., д2";"КП 098-01";"";"0.12";"Восточный АО";"37.820019";"55.77542";"92385362";
17;"Часы";"Чертановская ул., д11 к1 Торговый центр";"АЧС-800";"";"0.08";"Южный АО";"37.598877";"55.628504";"92385363";
18;"Часы";"Чертановская ул., д17 к/т ""Ашхабад""";"АЧС-800";"";"0.08";"Южный АО";"37.596302";"55.624463";"92385364";
19;"Часы";"Шарикоподшипниковская ул., д13";"АЧС-800";"";"0.08";"Юго-Восточный АО";"37.677947";"55.716542";"92385365";
20;"Часы";"Шипиловский пр., д39 стр1 м. ""Орехово""";"КП 098-01";"";"0.125";"Южный АО";"37.69573";"55.611925";"92385366";
21;"Часы";"Широкая ул., д11 м. ""Медведково""";"КП 098-01";"";"0.12";"Северо-Восточный АО";"37.660876";"55.887769";"92385367";
22;"Часы";"Щелковское шоссе, напротив д1,пересечение с Сиреневым бульв.";"КП 098-01";"";"0.12";"Восточный АО";"37.751586";"55.802144";"92385368";
23;"Часы";"Щелковское шоссе, д73 пересечение с Уральской ул.";"КП 098-01";"";"0.08";"Восточный АО";"37.798227";"55.810354";"92385369";
24;"Часы";"Щербаковская ул., д41 пересечение с ул.Ибрагимова";"АЧС-800";"";"0.08";"Восточный АО";"37.731459";"55.782801";"92385370";
25;"Часы";"Щербаковская ул., д50/52 пересечение с ул.Фортунатовская";"КП 098-01";"";"0.125";"Восточный АО";"37.738857";"55.782887";"92385371";
26;"Часы";"Щорса ул., д2 магазин ""Детский Мир""";"КП 098-01";"";"0.125";"Западный АО";"37.408024";"55.648124";"92385372";
27;"Часы";"Энтузиастов шоссе, д28/2 з-д ""Компрессор""";"КП 098-01";"";"0.12";"Восточный АО";"37.722413";"55.752417";"92385373";
28;"Часы";"Юных Ленинцев ул., д52 к/т ""Высота""";"КП-098";"";"0.125";"Юго-Восточный АО";"37.765072";"55.700131";"92385374";
29;"Часы";"Руставели ул., д6";"КП-098";"";"0.125";"Северо-Восточный АО";"37.589289";"55.812603";"92385375";
30;"Часы";"Ясногорская ул., м ""Ясенево""";"КП 098-01";"";"0.125";"Юго-Западный АО";"37.535155";"55.60626";"92385376";
31;"Часы";"Краснопрудная ул., д6";"КП-098";"";"0.125";"Центральный АО";"37.659859";"55.776465";"92385377";
32;"Часы";"Новослободская ул., д46";"КП-098";"";"0.125";"Центральный АО";"37.595361";"55.785826";"92385378";
33;"Часы";"Автозаводская ул., д11 м ""Автозаводская""";"КП-098";"";"0.125";"Южный АО";"37.657225";"55.706477";"92385379";
34;"Часы";"Преображенская пл., д11 А м ""Преображенская""";"КП-098";"";"0.125";"Восточный АО";"37.713358";"55.796215";"92385380";
35;"Часы";"Варшавское шоссе, д26 Г з-д им. Карпова";"КП-098";"";"0.125";"Южный АО";"37.623049";"55.683406";"92385381";
36;"Часы";"Головинское шоссе, д1-а Кронштадский б-р (м.""Водный стадион"")";"КП-098";"";"0.125";"Северный АО";"37.487463";"55.839706";"92385382";
37;"Часы";"Бутырская ул., д95 м ""Дмитровская""";"КП-098";"";"0.125";"Северный АО";"37.580604";"55.807865";"92385383";
38;"Часы";"Зеленый просп., д20 Префектура";"КП-098";"";"0.125";"Восточный АО";"37.785264";"55.750874";"92385384";
39;"Часы";"Измайловское шоссе, д71 А кБ";"КП-098";"";"0.125";"Восточный АО";"37.749967";"55.788194";"92385385";
40;"Часы";"Ленинский просп., д39,м.""Ленинский проспект"" южн.вход";"КП-098";"";"0.125";"Юго-Западный АО";"37.584837";"55.707003";"92385386";
41;"Часы";"Ленинский просп., д51";"КП-098";"";"0.125";"Юго-Западный АО";"37.565199";"55.699105";"92385387";
42;"Часы";"Саянская ул., д15 к1 (конечная остановка транспорта)";"КП 098-04/1";"";"0.1";"Восточный АО";"37.832433";"55.766825";"92385388";
